"id_sensor","time","saddr","mosf1_min","mosf1_avg","mosf2_min","mosf2_avg","mosAD_min","mosAD_avg","jitter_max","jitter_avg","loss_max_mult10","loss_avg_mult10","counter"
801,"2018-05-14 00:05:10",3227975507,45,45,45,45,45,45,0,0,0,0,2
802,"2018-05-14 00:05:10",3227975507,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:05:10",3429196867,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:10",3475127854,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:10",3494121763,45,45,45,45,45,45,4,4,0,0,1
802,"2018-05-14 00:05:10",3494121763,45,45,45,45,45,45,4,4,0,0,1
501,"2018-05-14 00:05:10",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:20",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:05:20",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:20",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:20",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:05:20",3227975251,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:20",3227975507,45,45,45,45,45,45,0,0,0,0,3
802,"2018-05-14 00:05:20",3227975507,45,45,45,45,45,45,0,0,0,0,3
501,"2018-05-14 00:05:20",3452818187,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:20",3494121763,45,45,45,45,45,45,3,3,0,0,1
802,"2018-05-14 00:05:20",3494121763,45,45,45,45,45,45,3,3,0,0,1
501,"2018-05-14 00:05:20",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:30",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:05:30",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:05:30",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:40",411685144,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:05:40",411685144,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:40",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:05:40",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:05:40",3227975507,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:05:40",3227975507,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:40",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:50",411685144,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:05:50",411685144,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:05:50",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:05:50",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:05:50",3227975507,45,45,45,45,45,45,0,0,0,0,2
802,"2018-05-14 00:05:50",3227975507,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:05:50",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:05:50",3507482177,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:05:50",3507482177,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:06:00",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:06:00",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:06:00",3227975507,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:06:00",3227975507,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:06:00",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:06:00",3507482177,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:06:00",3507482177,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:06:10",411685144,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:06:10",411685144,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:06:10",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:06:10",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:06:10",3227975507,45,45,45,45,45,45,0,0,1,0,2
802,"2018-05-14 00:06:10",3227975507,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:06:10",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:06:10",3507482177,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:06:10",3507482177,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:06:20",411685144,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:06:20",411685144,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:06:20",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:06:20",3227975250,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:06:20",3227975507,45,45,45,45,45,45,0,0,0,0,2
802,"2018-05-14 00:06:20",3227975507,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:06:20",3507482177,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:06:20",3507482177,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:06:30",411685144,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:06:30",411685144,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:06:30",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:06:30",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:06:30",3227975507,45,45,45,45,45,45,0,0,1,0,2
802,"2018-05-14 00:06:30",3227975507,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:06:30",3495526934,45,45,45,45,45,45,0,0,0,0,1
