"ID","cdr_ID","calldate","saddr","daddr","dport","ssrc","received","loss","firsttime","payload","maxjitter_mult10","index","flags"
96090700,76107854,"2018-05-01 12:08:12",3227975507,1275790787,6250,1025668124,15993,0,1.53115,0,42,1,NULL
96090701,76107854,"2018-05-01 12:08:12",1275790787,3227975507,19868,51927571,16301,0,1.57191,0,25,2,NULL
96090702,76107855,"2018-05-01 12:08:12",3227975507,3507478242,12144,2037910684,16068,0,5.52894,0,7,1,NULL
96090703,76107855,"2018-05-01 12:08:12",3507478242,3227975507,18610,299511574,15853,0,5.5636,0,63,2,NULL
96090704,76107856,"2018-05-01 12:13:00",3227975507,3638379610,10888,3206237308,1751,0,0.143056,0,4,1,NULL
96090705,76107856,"2018-05-01 12:13:00",3638379610,3227975507,27710,1463581408,1713,0,0.552515,0,110,2,NULL
96090706,76107857,"2018-05-01 12:11:22",3227975507,1275790787,6300,1030584010,6487,0,0.816936,0,7,1,NULL
96090707,76107857,"2018-05-01 12:11:22",1275790787,3227975507,19790,1773146522,6491,0,0.866103,0,25,2,NULL
96090708,76107858,"2018-05-01 12:12:59",3495526469,3227975507,20720,705958188,1754,0,1.06092,9,3,1,NULL
96090709,76107858,"2018-05-01 12:12:59",3227975507,3495526469,33452,1022795787,1694,0,1.5107,9,52,2,NULL
96090710,76107859,"2018-05-01 12:12:41",3227975507,3495526469,32982,1030813081,2936,0,1.18434,9,6,1,NULL
96090711,76107859,"2018-05-01 12:12:41",3495526469,3227975507,20846,109604966,2943,0,1.21867,9,3,2,NULL
96090712,76107860,"2018-05-01 12:12:42",3227975507,2734649389,2242,1632351658,2827,0,2.48188,0,12,1,NULL
96090713,76107860,"2018-05-01 12:12:42",2734649389,3227975507,31472,500594843,2824,2,2.52755,0,8,2,NULL
96090714,76107861,"2018-05-01 12:08:12",3227975507,1275790787,6250,1025668124,15993,0,1.53143,0,41,1,NULL
96090715,76107861,"2018-05-01 12:08:12",1275790787,3227975507,19868,51927571,16300,0,1.57209,0,25,2,NULL
96090716,76107862,"2018-05-01 12:12:41",3227975507,3495526469,32982,1030813081,2936,0,1.18444,9,4,1,NULL
96090717,76107862,"2018-05-01 12:12:41",3495526469,3227975507,20846,109604966,2942,0,1.21881,9,1,2,NULL
96090718,76107863,"2018-05-01 12:08:12",3227975507,3507478242,12144,2037910684,16067,0,5.52892,0,7,1,NULL
96090719,76107863,"2018-05-01 12:08:12",3507478242,3227975507,18610,299511574,15852,0,5.56357,0,63,2,NULL
96090720,76107864,"2018-05-01 12:13:00",3227975507,3638379610,10888,3206237308,1751,0,0.143012,0,1,1,NULL
96090721,76107864,"2018-05-01 12:13:00",3638379610,3227975507,27710,1463581408,1713,0,0.552391,0,110,2,NULL
96090722,76107865,"2018-05-01 12:11:22",3227975507,1275790787,6300,1030584010,6487,0,0.817007,0,7,1,NULL
96090723,76107865,"2018-05-01 12:11:22",1275790787,3227975507,19790,1773146522,6491,0,0.866147,0,25,2,NULL
96090724,76107866,"2018-05-01 12:12:42",3227975507,2734649389,2242,1632351658,2823,0,2.48003,0,12,1,NULL
96090725,76107866,"2018-05-01 12:12:42",2734649389,3227975507,31472,500594843,2824,2,2.52563,0,7,2,NULL
96090726,76107867,"2018-05-01 12:12:59",3495526469,3227975507,20720,705958188,1753,0,1.06091,9,1,1,NULL
96090727,76107867,"2018-05-01 12:12:59",3227975507,3495526469,33452,1022795787,1694,0,1.51086,9,52,2,NULL
96090728,76107870,"2018-05-01 12:12:45",3227975486,1145337708,9572,1191510461,2844,0,2.31354,0,21,1,NULL
96090729,76107870,"2018-05-01 12:12:45",1145337708,3227975486,20938,3840459845,2993,0,2.33067,0,1,2,NULL
96090730,76107871,"2018-05-01 12:12:00",3227975506,1816071815,7170,526375008,5415,0,1.36781,0,51,1,NULL
96090731,76107871,"2018-05-01 12:12:00",1816071815,3227975506,27670,2003332857,5430,0,1.37075,0,13,2,NULL
96090732,76107872,"2018-05-01 12:10:21",3227975507,2393257259,5016,1603543389,7133,0,15.932,9,4,1,NULL
96090733,76107872,"2018-05-01 12:10:21",2393257259,3227975507,23736,1203492212,966,0,16.1937,9,42,2,NULL
96090734,76107872,"2018-05-01 12:10:21",2393257259,3227975507,23736,786839810,6135,0,85.9862,9,46,3,NULL
96090735,76107873,"2018-05-01 12:13:29",1145337708,3227975486,25320,824945147,706,0,0.096647,0,1,1,NULL
96090736,76107873,"2018-05-01 12:13:29",3227975486,1145337708,6134,4026666089,682,0,3.89364,0,4,2,NULL
96090737,76107874,"2018-05-01 12:13:20",3227975506,3495526469,33978,527512944,1122,0,1.03033,9,3,1,NULL
96090738,76107874,"2018-05-01 12:13:20",3495526469,3227975506,21696,1651466738,1120,0,1.05812,9,1,2,NULL
96090739,76107875,"2018-05-01 12:09:30",3227975507,1275790787,6100,1022399050,12898,0,0.725412,0,251,1,NULL
96090740,76107875,"2018-05-01 12:09:30",1275790787,3227975507,23394,185479866,12960,0,0.770887,0,25,2,NULL
96090741,76107878,"2018-05-01 12:10:21",3227975507,2393257259,5016,1603543389,7135,0,15.9321,9,5,1,NULL
96090742,76107878,"2018-05-01 12:10:21",2393257259,3227975507,23736,1203492212,966,0,16.1937,9,42,2,NULL
96090743,76107878,"2018-05-01 12:10:21",2393257259,3227975507,23736,786839810,6135,0,85.9862,9,46,3,NULL
96090744,76107879,"2018-05-01 12:13:29",1145337708,3227975486,25320,824945147,708,0,0.097738,0,2,1,NULL
96090745,76107879,"2018-05-01 12:13:29",3227975486,1145337708,6134,4026666089,682,0,3.8946,0,4,2,NULL
96090746,76107880,"2018-05-01 12:09:30",3227975507,1275790787,6100,1022399050,12898,0,0.725451,0,251,1,NULL
96090747,76107880,"2018-05-01 12:09:30",1275790787,3227975507,23394,185479866,12960,0,0.771072,0,25,2,NULL
96090748,76107881,"2018-05-01 12:13:20",3227975506,3495526469,33978,527512944,1122,0,1.03027,9,3,1,NULL
96090749,76107881,"2018-05-01 12:13:20",3495526469,3227975506,21696,1651466738,1121,0,1.05809,9,4,2,NULL
96090750,76107882,"2018-05-01 12:12:45",3227975486,1145337708,9572,1191510461,2845,0,2.31343,0,22,1,NULL
96090751,76107882,"2018-05-01 12:12:45",1145337708,3227975486,20938,3840459845,2994,0,2.33077,0,5,2,NULL
96090752,76107884,"2018-05-01 12:12:00",3227975506,1816071815,7170,526375008,5415,0,1.3679,0,51,1,NULL
96090753,76107884,"2018-05-01 12:12:00",1816071815,3227975506,27670,2003332857,5430,0,1.37081,0,13,2,NULL
96090754,76107898,"2018-05-01 12:12:43",3227975506,3341778707,59454,523285643,4180,0,0.823565,9,267,1,NULL
96090755,76107898,"2018-05-01 12:12:43",3341778707,3227975506,27090,1992305778,4241,0,0.874421,9,4,2,NULL
96090756,76107899,"2018-05-01 12:12:53",3227975506,1676539840,5056,3445992517,2472,0,7.11344,9,4,1,NULL
96090757,76107899,"2018-05-01 12:12:53",1676539840,3227975506,26018,360329794,1128,0,7.39069,9,41,2,NULL
96090758,76107899,"2018-05-01 12:12:53",1676539840,3227975506,26018,561369062,1304,0,50.2549,9,40,3,NULL
96090759,76107900,"2018-05-01 12:13:36",3227975507,412232355,2252,1228992064,929,0,9.71912,9,12,1,NULL
