"ID","cdr_ID","calldate","type","pos"
419341536,76100585,"2018-05-01 00:03:41",2,2834944
419341537,76100585,"2018-05-01 00:03:41",2,3590656
419341538,76100585,"2018-05-01 00:03:41",2,4297728
419341539,76100585,"2018-05-01 00:03:41",2,5139968
419341540,76100585,"2018-05-01 00:03:41",2,5895680
419341541,76100585,"2018-05-01 00:03:41",2,6841856
419341542,76100585,"2018-05-01 00:03:41",3,89600
419341543,76100585,"2018-05-01 00:03:41",3,102912
419341544,76100595,"2018-05-01 00:04:10",2,816640
419341545,76100596,"2018-05-01 00:04:13",2,1014272
419342127,76100607,"2018-05-01 00:05:11",2,361472
419342128,76100607,"2018-05-01 00:05:11",3,0
419342129,76100607,"2018-05-01 00:05:11",3,4096
419342130,76100608,"2018-05-01 00:05:17",2,540672
419342131,76100608,"2018-05-01 00:05:17",3,8704
419342132,76100608,"2018-05-01 00:05:17",3,9728
419342133,76100609,"2018-05-01 00:04:54",2,8477696
419342134,76100609,"2018-05-01 00:04:54",2,12116480
419342135,76100609,"2018-05-01 00:04:54",3,74752
419342136,76100609,"2018-05-01 00:04:54",3,83456
419342137,76100612,"2018-05-01 00:04:11",2,0
419342138,76100612,"2018-05-01 00:04:11",2,328704
419342139,76100612,"2018-05-01 00:04:11",2,1248768
419342140,76100612,"2018-05-01 00:04:11",2,2333184
419342141,76100612,"2018-05-01 00:04:11",2,3417600
419342142,76100612,"2018-05-01 00:04:11",2,4206080
419342143,76100612,"2018-05-01 00:04:11",2,5684736
419342144,76100612,"2018-05-01 00:04:11",2,7557632
419342145,76100612,"2018-05-01 00:04:11",2,9430528
419342146,76100612,"2018-05-01 00:04:11",2,10482176
419342147,76100612,"2018-05-01 00:04:11",2,11960832
419342148,76100612,"2018-05-01 00:04:11",3,0
419342149,76100612,"2018-05-01 00:04:11",3,18944
419342150,76100613,"2018-05-01 00:05:19",2,807936
419342151,76100613,"2018-05-01 00:05:19",3,11264
419342152,76100613,"2018-05-01 00:05:19",3,12800
419342153,76100615,"2018-05-01 00:05:21",2,772096
419342154,76100615,"2018-05-01 00:05:21",3,14336
419342155,76100615,"2018-05-01 00:05:21",3,15872
419342156,76100616,"2018-05-01 00:04:12",2,164352
419342157,76100616,"2018-05-01 00:04:12",2,525824
419342158,76100616,"2018-05-01 00:04:12",2,1478656
419342159,76100616,"2018-05-01 00:04:12",2,2530304
419342160,76100616,"2018-05-01 00:04:12",2,3614720
419342161,76100616,"2018-05-01 00:04:12",2,5093376
419342162,76100616,"2018-05-01 00:04:12",2,6801920
419342163,76100616,"2018-05-01 00:04:12",2,8642048
419342164,76100616,"2018-05-01 00:04:12",2,10646528
419342165,76100616,"2018-05-01 00:04:12",2,12036096
419342166,76100616,"2018-05-01 00:04:12",3,37888
419342167,76100616,"2018-05-01 00:04:12",3,56320
419342168,76100618,"2018-05-01 00:04:20",2,722944
419342169,76100618,"2018-05-01 00:04:20",2,1643008
419342170,76100618,"2018-05-01 00:04:20",2,2727424
419342171,76100618,"2018-05-01 00:04:20",2,3811840
419342172,76100618,"2018-05-01 00:04:20",2,5290496
419342173,76100618,"2018-05-01 00:04:20",2,6999040
419342174,76100618,"2018-05-01 00:04:20",2,9036288
419342175,76100618,"2018-05-01 00:04:20",2,11008000
419342176,76100618,"2018-05-01 00:04:20",2,13493248
419342177,76100618,"2018-05-01 00:04:20",3,109056
419342178,76100618,"2018-05-01 00:04:20",3,142848
419342179,76100619,"2018-05-01 00:04:23",2,887296
419342180,76100619,"2018-05-01 00:04:23",2,1840128
419342181,76100619,"2018-05-01 00:04:23",2,3088896
419342182,76100619,"2018-05-01 00:04:23",2,4731904
419342183,76100619,"2018-05-01 00:04:23",2,6440448
419342184,76100619,"2018-05-01 00:04:23",2,8839168
419342185,76100619,"2018-05-01 00:04:23",2,10843648
419342186,76100619,"2018-05-01 00:04:23",2,13381120
419342187,76100619,"2018-05-01 00:04:23",3,92160
419342188,76100619,"2018-05-01 00:04:23",3,125952
419342189,76100624,"2018-05-01 00:04:37",2,164352
419342190,76100624,"2018-05-01 00:04:37",2,487936
419342191,76100624,"2018-05-01 00:04:37",2,1182208
419342192,76100624,"2018-05-01 00:04:37",2,1346560
419342193,76100624,"2018-05-01 00:04:37",2,1576448
419342194,76100624,"2018-05-01 00:04:37",2,1905152
419342195,76100624,"2018-05-01 00:04:37",2,2151424
419342196,76100625,"2018-05-01 00:04:19",2,652288
419342197,76100625,"2018-05-01 00:04:19",2,1740800
419342198,76100625,"2018-05-01 00:04:19",2,2069504
419342199,76100626,"2018-05-01 00:05:26",2,1062912
419342200,76100627,"2018-05-01 00:05:00",2,493056
419342201,76100627,"2018-05-01 00:05:00",2,1018880
419342202,76100638,"2018-05-01 00:06:05",2,0
419342203,76100645,"2018-05-01 00:05:30",2,1718272
419342204,76100645,"2018-05-01 00:05:30",3,17408
419342205,76100645,"2018-05-01 00:05:30",3,19968
419342206,76100646,"2018-05-01 00:05:31",2,1913344
419342207,76100646,"2018-05-01 00:05:31",3,22528
419342208,76100646,"2018-05-01 00:05:31",3,25088
419342209,76100648,"2018-05-01 00:05:47",2,0
419342210,76100650,"2018-05-01 00:05:47",2,85504
419342211,76100653,"2018-05-01 00:04:28",2,2004480
419342212,76100653,"2018-05-01 00:04:28",2,3253248
419342213,76100653,"2018-05-01 00:04:28",2,4567552
419342214,76100653,"2018-05-01 00:04:28",2,6276096
419342215,76100653,"2018-05-01 00:04:28",2,7951872
419342216,76100653,"2018-05-01 00:04:28",2,9956352
419342217,76100653,"2018-05-01 00:04:28",2,11599360
419342218,76100653,"2018-05-01 00:04:28",2,13019648
419342219,76100653,"2018-05-01 00:04:28",2,14153728
419342220,76100653,"2018-05-01 00:04:28",2,15566848
419342221,76100653,"2018-05-01 00:04:28",3,159744
419342222,76100653,"2018-05-01 00:04:28",3,222720
419342223,76100654,"2018-05-01 00:04:25",2,1084416
419342224,76100654,"2018-05-01 00:04:25",2,2168832
419342225,76100654,"2018-05-01 00:04:25",2,2924544
419342226,76100654,"2018-05-01 00:04:25",2,4008960
419342227,76100654,"2018-05-01 00:04:25",2,5487616
419342228,76100654,"2018-05-01 00:04:25",2,7360512
419342229,76100654,"2018-05-01 00:04:25",2,9233408
419342230,76100654,"2018-05-01 00:04:25",2,10317824
419342231,76100654,"2018-05-01 00:04:25",2,12461056
419342232,76100654,"2018-05-01 00:04:25",2,13627904
419342233,76100654,"2018-05-01 00:04:25",2,14646784
419342234,76100654,"2018-05-01 00:04:25",2,15705088
419342235,76100654,"2018-05-01 00:04:25",3,180736
419342236,76100654,"2018-05-01 00:04:25",3,201728
419342237,76100655,"2018-05-01 00:05:54",2,2739200
419342238,76100655,"2018-05-01 00:05:54",3,31744
419342239,76100655,"2018-05-01 00:05:54",3,33792
419342240,76100656,"2018-05-01 00:05:47",2,2633216
419342241,76100656,"2018-05-01 00:05:47",3,27648
419342242,76100656,"2018-05-01 00:05:47",3,29696
419342522,76100661,"2018-05-01 00:04:54",2,4929024
419342523,76100661,"2018-05-01 00:04:54",2,6604800
419342524,76100661,"2018-05-01 00:04:54",2,8313344
419342525,76100661,"2018-05-01 00:04:54",2,10120704
419342526,76100661,"2018-05-01 00:04:54",2,11763712
419342527,76100661,"2018-05-01 00:04:54",2,13184000
419342528,76100661,"2018-05-01 00:04:54",2,14482432
419342529,76100661,"2018-05-01 00:04:54",2,15369728
419342530,76100661,"2018-05-01 00:04:54",2,15963648
419342531,76100661,"2018-05-01 00:04:54",2,16686592
419342532,76100661,"2018-05-01 00:04:54",2,17048064
419342533,76100661,"2018-05-01 00:04:54",3,243712
419342534,76100661,"2018-05-01 00:04:54",3,263680
