"ID","cdr_ID","calldate","src","dst"
33995836,76100932,"2018-05-01 00:15:42",NULL,3227975249
33995837,76100933,"2018-05-01 00:11:45",NULL,3227975504
33995838,76100934,"2018-05-01 00:10:12",NULL,3227975248
33995839,76100935,"2018-05-01 00:11:45",NULL,3227975504
33995840,76100936,"2018-05-01 00:14:48",NULL,3227975504
33995841,76100937,"2018-05-01 00:16:01",NULL,1654599240
33995842,76100938,"2018-05-01 00:15:39",NULL,1654599248
33995843,76100939,"2018-05-01 00:15:49",NULL,3227975249
33995844,76100940,"2018-05-01 00:15:39",NULL,3227975249
33995845,76100943,"2018-05-01 00:14:37",NULL,3227975248
33995846,76100944,"2018-05-01 00:15:38",NULL,3227975249
33995847,76100945,"2018-05-01 00:15:29",NULL,3227975248
33995848,76100946,"2018-05-01 00:11:34",NULL,3227975248
33995849,76100947,"2018-05-01 00:15:30",NULL,3227975248
33995850,76100948,"2018-05-01 00:14:48",NULL,3227975504
33995851,76100951,"2018-05-01 00:15:16",NULL,3227975485
33995852,76100952,"2018-05-01 00:16:02",NULL,3227975485
33995853,76100953,"2018-05-01 00:15:30",NULL,3227975249
33995854,76100955,"2018-05-01 00:15:33",NULL,3227975249
33995855,76100956,"2018-05-01 00:15:49",NULL,3227975249
33995856,76100957,"2018-05-01 00:15:50",NULL,3227975248
33995857,76100958,"2018-05-01 00:16:37",NULL,1654599240
33995858,76100960,"2018-05-01 00:15:54",NULL,3227975505
33995859,76100961,"2018-05-01 00:15:55",NULL,3227975505
33995860,76100964,"2018-05-01 00:13:22",NULL,3227975249
33995861,76100966,"2018-05-01 00:14:55",NULL,3227975248
33995862,76100968,"2018-05-01 00:13:32",NULL,3227975504
33995863,76100969,"2018-05-01 00:16:07",NULL,3227975504
33995864,76100970,"2018-05-01 00:15:05",NULL,3227975504
33995865,76100971,"2018-05-01 00:13:32",NULL,3227975504
33995866,76100972,"2018-05-01 00:16:07",NULL,3227975504
33995867,76100973,"2018-05-01 00:15:05",NULL,3227975504
33995868,76100976,"2018-05-01 00:16:33",NULL,3227975248
33995869,76100977,"2018-05-01 00:16:35",NULL,3227975248
33995870,76100978,"2018-05-01 00:15:56",NULL,3227975249
33995871,76100979,"2018-05-01 00:16:36",NULL,3227975485
33995872,76100980,"2018-05-01 00:17:02",NULL,3227975505
33995873,76100981,"2018-05-01 00:17:02",NULL,3227975485
33995874,76100986,"2018-05-01 00:16:22",NULL,3227975485
33995875,76100987,"2018-05-01 00:17:08",NULL,3227975485
33995876,76100988,"2018-05-01 00:16:59",NULL,3227975249
33995878,76100990,"2018-05-01 00:16:36",NULL,3227975248
33995879,76100994,"2018-05-01 00:16:17",NULL,3227975249
33995880,76100995,"2018-05-01 00:17:09",NULL,3227975249
33995881,76100996,"2018-05-01 00:17:20",NULL,3227975504
33995882,76100997,"2018-05-01 00:16:45",NULL,3227975505
33995884,76100999,"2018-05-01 00:17:20",NULL,3227975504
33995885,76101000,"2018-05-01 00:16:45",NULL,3227975505
33995887,76101002,"2018-05-01 00:10:30",NULL,3227975248
33995888,76101004,"2018-05-01 00:16:37",NULL,1654599249
33995889,76101005,"2018-05-01 00:17:45",NULL,1654599240
33995890,76101005,"2018-05-01 00:17:45",NULL,1654599248
33995891,76101006,"2018-05-01 00:17:45",NULL,3227975249
33995892,76101007,"2018-05-01 00:17:47",NULL,3227975249
33995893,76101008,"2018-05-01 00:18:05",NULL,3227975248
33995894,76101009,"2018-05-01 00:18:17",NULL,3227975249
33995895,76101011,"2018-05-01 00:18:15",NULL,3227975504
33995896,76101012,"2018-05-01 00:18:15",NULL,3227975504
33995897,76101013,"2018-05-01 00:18:26",NULL,3227975248
33995898,76101014,"2018-05-01 00:18:28",NULL,3227975248
33995900,76101016,"2018-05-01 00:01:37",NULL,3227975248
33995901,76101017,"2018-05-01 00:17:31",NULL,3227975504
33995902,76101018,"2018-05-01 00:12:51",NULL,3227975504
33995903,76101019,"2018-05-01 00:17:29",NULL,3227975504
33995904,76101020,"2018-05-01 00:12:49",NULL,3227975505
33995905,76101025,"2018-05-01 00:18:35",NULL,3227975504
33995906,76101026,"2018-05-01 00:18:35",NULL,3227975504
33995907,76101027,"2018-05-01 00:17:39",NULL,3227975249
33995908,76101028,"2018-05-01 00:18:24",NULL,3227975248
33995909,76101030,"2018-05-01 00:19:16",NULL,3227975249
33995910,76101031,"2018-05-01 00:19:16",NULL,3227975505
33995911,76101032,"2018-05-01 00:19:17",NULL,3227975505
33995912,76101035,"2018-05-01 00:19:35",NULL,3227975248
33995913,76101036,"2018-05-01 00:19:11",NULL,3227975244
33995914,76101036,"2018-05-01 00:19:11",NULL,3227975249
33995915,76101037,"2018-05-01 00:19:36",NULL,1654599240
33995916,76101038,"2018-05-01 00:19:48",NULL,3227975504
33995917,76101040,"2018-05-01 00:16:54",NULL,3227975504
33995918,76101041,"2018-05-01 00:19:44",NULL,3227975504
33995919,76101042,"2018-05-01 00:19:49",NULL,3227975504
33995920,76101043,"2018-05-01 00:19:48",NULL,3227975504
33995921,76101045,"2018-05-01 00:16:54",NULL,3227975504
33995922,76101047,"2018-05-01 00:19:49",NULL,3227975504
33995923,76101048,"2018-05-01 00:19:12",NULL,3227975249
33995924,76101054,"2018-05-01 00:16:44",NULL,3227975248
33995925,76101055,"2018-05-01 00:19:50",NULL,3227975504
33995926,76101056,"2018-05-01 00:14:07",NULL,3227975504
