"ID","cdr_ID","calldate","time","SIPrequest_id","SIPresponse_id","SIPresponseNum"
101326552,76102956,"2018-05-01 03:12:20",37209781,1,NULL,NULL
101326553,76102957,"2018-05-01 03:12:21",36048390,1,NULL,NULL
101326554,76102957,"2018-05-01 03:12:21",36048397,1,NULL,NULL
101326555,76102958,"2018-05-01 03:09:57",199203720,1,NULL,NULL
101326556,76102959,"2018-05-01 03:11:54",82443869,1,NULL,NULL
101326557,76102960,"2018-05-01 03:09:57",199203689,1,NULL,NULL
101326558,76102960,"2018-05-01 03:09:57",199203697,1,NULL,NULL
101326559,76102960,"2018-05-01 03:09:57",199204887,1,NULL,NULL
101326560,76102960,"2018-05-01 03:09:57",199204895,1,NULL,NULL
101326561,76102961,"2018-05-01 03:11:54",82445646,1,NULL,NULL
101326562,76102961,"2018-05-01 03:11:54",82445653,1,NULL,NULL
101326563,76102961,"2018-05-01 03:11:54",82446326,1,NULL,NULL
101326564,76102961,"2018-05-01 03:11:54",82446331,1,NULL,NULL
101326565,76102962,"2018-05-01 02:51:17",1406008665,1,NULL,NULL
101326566,76102962,"2018-05-01 02:51:17",1406009417,1,NULL,NULL
101326567,76102963,"2018-05-01 02:51:17",1406008616,1,NULL,NULL
101326568,76102963,"2018-05-01 02:51:17",1406008623,1,NULL,NULL
101326569,76102963,"2018-05-01 02:51:17",1406009439,1,NULL,NULL
101326570,76102963,"2018-05-01 02:51:17",1406009444,1,NULL,NULL
101326571,76102964,"2018-05-01 02:51:08",1406006391,1,NULL,NULL
101326572,76102964,"2018-05-01 02:51:08",1406006404,1,NULL,NULL
101326573,76102965,"2018-05-01 02:51:07",1407528804,1,NULL,NULL
101326574,76102965,"2018-05-01 02:51:07",1407528811,1,NULL,NULL
101326575,76102965,"2018-05-01 02:51:07",1407529245,1,NULL,NULL
101326576,76102965,"2018-05-01 02:51:07",1407529252,1,NULL,NULL
101326577,76102969,"2018-05-01 03:15:13",29210519,1,NULL,NULL
101326578,76102969,"2018-05-01 03:15:13",29210526,1,NULL,NULL
101326579,76102969,"2018-05-01 03:15:13",29211333,1,NULL,NULL
101326580,76102969,"2018-05-01 03:15:13",29211338,1,NULL,NULL
101326581,76102975,"2018-05-01 03:17:00",33942680,1,NULL,NULL
101326582,76102975,"2018-05-01 03:17:00",33942687,1,NULL,NULL
101326583,76102975,"2018-05-01 03:17:00",33943472,1,NULL,NULL
101326584,76102975,"2018-05-01 03:17:00",33943478,1,NULL,NULL
101326585,76102976,"2018-05-01 03:17:01",33234316,1,NULL,NULL
101326586,76102976,"2018-05-01 03:17:01",33234321,1,NULL,NULL
101326587,76102976,"2018-05-01 03:17:01",33235516,1,NULL,NULL
101326588,76102976,"2018-05-01 03:17:01",33235519,1,NULL,NULL
101326589,76102977,"2018-05-01 03:15:20",346174626,1,NULL,NULL
101326590,76102977,"2018-05-01 03:15:20",346174632,1,NULL,NULL
101326591,76102977,"2018-05-01 03:15:20",346175585,1,NULL,NULL
101326592,76102977,"2018-05-01 03:15:20",346175592,1,NULL,NULL
101326593,76102978,"2018-05-01 03:15:22",344279381,1,NULL,NULL
101326594,76102978,"2018-05-01 03:15:22",344279388,1,NULL,NULL
101326595,76102978,"2018-05-01 03:15:22",344280245,1,NULL,NULL
101326596,76102978,"2018-05-01 03:15:22",344280253,1,NULL,NULL
