"cdr_ID","calldate","ip","port","is_caller"
76122595,"2018-05-01 13:47:29",417208698,5134,1
76122595,"2018-05-01 13:47:29",1654599250,32552,0
76122597,"2018-05-01 13:47:29",1654599250,17708,1
76122597,"2018-05-01 13:47:29",2886735014,5142,0
76122920,"2018-05-01 13:47:29",3227975250,28486,1
76122920,"2018-05-01 13:47:29",3452818186,13838,0
76122631,"2018-05-01 13:47:31",3227975250,26352,0
76122632,"2018-05-01 13:47:31",3227975250,23558,0
76122633,"2018-05-01 13:47:31",3227975250,20434,0
76122635,"2018-05-01 13:47:31",3227975250,18962,0
76122636,"2018-05-01 13:47:31",3227975250,17524,0
76122637,"2018-05-01 13:47:31",3227975250,21952,0
76122927,"2018-05-01 13:47:31",3332465478,10000,1
76122927,"2018-05-01 13:47:31",3227975250,31250,0
76122641,"2018-05-01 13:47:36",1654599250,30528,1
76122641,"2018-05-01 13:47:36",3232235882,2276,0
76122591,"2018-05-01 13:47:37",1654599250,17810,0
76122761,"2018-05-01 13:47:38",1654599250,19336,1
76122761,"2018-05-01 13:47:38",411685144,6720,0
76122762,"2018-05-01 13:47:38",3507478244,12632,1
76122762,"2018-05-01 13:47:38",1654599250,23726,0
76122638,"2018-05-01 13:47:39",1654599251,23422,1
76122638,"2018-05-01 13:47:39",1275790787,6010,0
76122639,"2018-05-01 13:47:39",3507478243,11704,1
76122639,"2018-05-01 13:47:39",1654599251,17668,0
76122991,"2018-05-01 13:47:42",1654599251,26424,1
76122991,"2018-05-01 13:47:42",1676539840,5122,0
76122634,"2018-05-01 13:47:43",3227975507,21770,0
76122987,"2018-05-01 13:47:43",3631984749,24100,1
76122987,"2018-05-01 13:47:43",1654599251,24174,0
76122760,"2018-05-01 13:47:48",417208698,5074,1
76122760,"2018-05-01 13:47:48",3227975507,29308,0
76122862,"2018-05-01 13:47:48",3227975251,21246,1
76122862,"2018-05-01 13:47:48",3512424079,16466,0
76122640,"2018-05-01 13:47:50",1654599250,20374,1
76122640,"2018-05-01 13:47:50",1676840295,5004,0
76122659,"2018-05-01 13:47:50",3227975506,19798,0
76122861,"2018-05-01 13:47:50",3429196812,21102,1
76122861,"2018-05-01 13:47:50",3227975251,28454,0
76122642,"2018-05-01 13:47:51",1654599250,26980,0
76122686,"2018-05-01 13:47:52",3227975507,31368,0
76122722,"2018-05-01 13:47:52",0,2280,1
76122722,"2018-05-01 13:47:52",3227975507,26130,0
76122859,"2018-05-01 13:47:52",3227975250,20300,1
76122859,"2018-05-01 13:47:52",1244849474,12726,0
76122860,"2018-05-01 13:47:54",1244849474,12334,1
76122860,"2018-05-01 13:47:54",3227975250,24054,0
76122758,"2018-05-01 13:47:55",3227975250,21526,1
76122758,"2018-05-01 13:47:55",3640368787,19946,0
76122759,"2018-05-01 13:47:56",3495526934,18130,1
76122759,"2018-05-01 13:47:56",3227975250,32180,0
76122763,"2018-05-01 13:47:58",1654599250,21344,1
76122763,"2018-05-01 13:47:58",411685143,6220,0
76122764,"2018-05-01 13:47:58",3507478243,19758,1
76122764,"2018-05-01 13:47:58",1654599250,22940,0
76122831,"2018-05-01 13:48:01",417208698,5200,1
76122831,"2018-05-01 13:48:01",1654599250,21998,0
76122832,"2018-05-01 13:48:01",1654599250,31788,1
76122832,"2018-05-01 13:48:01",2886735043,5036,0
76122834,"2018-05-01 13:48:05",1654599250,20498,1
76122834,"2018-05-01 13:48:05",0,16406,0
76122833,"2018-05-01 13:48:06",3438593084,11834,1
76122833,"2018-05-01 13:48:06",1654599250,21562,0
76122801,"2018-05-01 13:48:08",3227975506,31714,1
76122801,"2018-05-01 13:48:08",3345303600,2228,0
76122855,"2018-05-01 13:48:09",3227975506,23280,0
76122721,"2018-05-01 13:48:12",3227975507,22694,0
76125549,"2018-05-01 13:48:12",3227975251,24632,1
76125549,"2018-05-01 13:48:12",3345303600,10000,0
76125548,"2018-05-01 13:48:13",3345303600,2224,1
76125548,"2018-05-01 13:48:13",3227975251,27464,0
76122800,"2018-05-01 13:48:14",3227975506,22896,0
76122863,"2018-05-01 13:48:14",0,10000,1
76122863,"2018-05-01 13:48:14",3227975506,18118,0
76122996,"2018-05-01 13:48:22",1654599250,16888,1
76122996,"2018-05-01 13:48:22",2393257259,5140,0
76122998,"2018-05-01 13:48:22",411685143,7020,1
76122998,"2018-05-01 13:48:22",1654599250,18114,0
76122803,"2018-05-01 13:48:31",3227975506,30950,0
76122886,"2018-05-01 13:48:31",1654599250,21938,0
76122887,"2018-05-01 13:48:31",1654599250,19192,1
76122887,"2018-05-01 13:48:31",2886732487,16406,0
76126109,"2018-05-01 13:48:32",3227975250,18580,1
76126109,"2018-05-01 13:48:32",3345303600,10000,0
76125971,"2018-05-01 13:48:33",3345303600,54224,1
76125971,"2018-05-01 13:48:33",3227975250,22658,0
76122985,"2018-05-01 13:48:45",3227975251,28382,1
76122985,"2018-05-01 13:48:45",3345303600,2234,0
76123615,"2018-05-01 13:48:45",3227975250,21950,1
76123615,"2018-05-01 13:48:45",3345303600,2222,0
76122983,"2018-05-01 13:48:46",3227975251,31772,0
76123613,"2018-05-01 13:48:47",3345303600,2232,1
76123613,"2018-05-01 13:48:47",3227975250,28760,0
76123085,"2018-05-01 13:48:48",3227975250,16786,1
76123085,"2018-05-01 13:48:48",3452818187,11492,0
76122922,"2018-05-01 13:48:50",3227975250,30082,0
76122923,"2018-05-01 13:48:50",3227975250,17750,0
76122925,"2018-05-01 13:48:50",3227975250,19322,0
76122930,"2018-05-01 13:48:50",3227975250,24032,0
76122931,"2018-05-01 13:48:50",3227975250,30412,0
76122984,"2018-05-01 13:48:50",3227975250,20344,0
76123086,"2018-05-01 13:48:50",412233259,2306,1
76123086,"2018-05-01 13:48:50",3227975250,31172,0
76123616,"2018-05-01 13:48:54",3345303600,10000,1
76123616,"2018-05-01 13:48:54",3227975506,32344,0
76122888,"2018-05-01 13:48:59",3227975250,19322,0
76123350,"2018-05-01 13:49:02",1654599251,21824,1
76123350,"2018-05-01 13:49:02",417208698,5192,0
76123354,"2018-05-01 13:49:02",411685143,6980,1
76123354,"2018-05-01 13:49:02",1654599251,22054,0
